Constituency,Raila,Ruto,Mwaure,Wajackoyah,Rejected,Total,Remarks
Ainabkoi,8620,35401,50,86,261,44418,
Ainamoi,5722,57059,49,95,419,63344,
Aldai,6919,51402,60,125,279,58785,
Alego Usonga,85301,865,40,166,316,86688,
Awendo,42227,474,12,54,127,42894,
Bahati,18668,44847,256,291,468,64530,
Balambala,5714,7854,12,73,76,13729,
Banissa,20555,2841,31,79,140,23646,
Baringo  North,923,37635,16,56,175,38805,
Baringo Central,11656,33162,26,62,166,45072,
Baringo South,7351,25533,41,90,201,33216,
Belgut,2140,55631,30,76,295,58172,
Bobasi,50206,16824,115,320,849,68314,
Bomachoge Borabu,,,,,,0,
Bomachoge Chache,23419,9232,51,96,327,33125,
Bomet Central,2024,55486,55,105,329,57999,
Bomet East,1769,47987,38,107,258,50159,
Bonchari,27960,12127,79,159,480,40805,
Bondo,73603,720,22,94,492,74931,
Borabu,,,,,,0,
Budalangi,20180,11361,46,157,297,32041,
Bumula,22177,28968,213,358,734,52450,
Bura,17446,12446,46,104,218,30260,
Bureti,1426,76331,40,97,320,78214,
Butere,34044,6202,99,327,423,41095,
Butula,40161,3663,65,278,244,44411,
Buuri,7107,46441,78,206,479,54311,
Central Imenti,6001,47078,119,277,359,53834,
Changamwe,24237,19098,73,186,435,44029,
Chepalungu,5009,58827,54,142,507,64539,
Cherangany,27278,34981,89,162,422,62932,
Chesumei,5700,49681,53,103,290,55827,
Chuka/Igambang'ombe,5249,53038,173,354,306,59120,
Dadaab,,,,,,0,
Dagoretti North,56560,25744,468,438,891,84101,
Dagoretti South,26947,40120,230,328,782,68407,
Diaspora,,,,,,0,
Eldama Ravine,5122,42118,72,114,308,47734,
Eldas,12629,1282,8,36,92,14047,
Embakasi Central,42580,39412,177,279,711,83159,
Embakasi East,,,,,,0,
Embakasi North,35573,33401,120,160,423,69677,
Embakasi South,,,,,,0,
Embakasi West,45039,34736,290,422,466,80953,
Emgwen,7602,41086,57,85,250,49080,
Emuhaya,21531,9440,104,295,294,31664,
Emurua Dikirr,501,35186,30,36,138,35891,
Endebess,13954,18255,50,78,354,32691,
Fafi,,,,,,0,
Funyula,29826,7163,83,239,37311,74622,
Galole,16744,11566,109,178,434,29031,
Ganze,30402,6985,194,381,414,38376,
Garissa Township,16925,8031,18,112,228,25314,
Garsen,17242,17873,43,148,418,35724,
Gatanga,15117,53443,272,323,496,69651,
